,Locality,Average_Cost_for_two
0,Agra Cantt,683.3333333333334
1,Civil Lines,700.0
2,"Courtyard by Marriott Agra, Tajganj",2000.0
3,"ITC Mughal, Tajganj",2500.0
4,Khandari,800.0
5,"Radisson Blu, Tajganj",1800.0
6,Rakabganj,550.0
7,Tajganj,737.5
