Locality,Average_Cost_for_two
Agra Cantt,683.333333
Civil Lines,700
"Courtyard by Marriott Agra, Tajganj",2000
"ITC Mughal, Tajganj",2500
Khandari,800
"Radisson Blu, Tajganj",1800
Rakabganj,550
Tajganj,737.5
