Months,High,Low,Avg
January,32,11,20
February,37.8,13.9,25
March,39.4,21.1,28.9
April,40.6,20,30
May,37.8,21.7,30
June ,42,24,30
July,34,24,28
August,33.9,22.2,28.3
September,34.4,24.4,28.3
October,35,18,27
November,34,15,25
December,29,16,22
